kernel_size	num_feature_maps	max_pooling	num_hidden
(3,3)	20	(4,1)	67
(3,3)	20	(5,1)	85
(3,3)	20	(6,1)	98
(3,3)	30	(6,1)	67
(3,3)	20	(7,1)	116
(3,3)	30	(7,1)	80
(3,3)	40	(7,1)	61
(3,3)	20	(8,1)	143
(3,3)	30	(8,1)	98
(3,3)	40	(8,1)	75
(3,3)	50	(8,1)	61
(5,5)	20	(4,1)	88
(5,5)	20	(5,1)	111
(5,5)	30	(5,1)	76
(5,5)	20	(6,1)	128
(5,5)	30	(6,1)	87
(5,5)	40	(6,1)	66
(5,5)	20	(7,1)	151
(5,5)	30	(7,1)	104
(5,5)	40	(7,1)	79
(5,5)	50	(7,1)	64
(5,5)	20	(8,1)	184
(5,5)	30	(8,1)	128
(5,5)	40	(8,1)	97
(5,5)	50	(8,1)	79
